clientid,sexid
521,0
537,1
541,0
553,1
570,1
591,0
592,1
599,1
605,1
629,0
667,1
694,0
697,0
700,1
701,0
706,1
710,1
711,0
712,1
713,1
715,0
716,0
720,1
723,0
729,1
739,0
742,0
745,0
746,0
748,0
749,0
757,1
764,1
766,0
772,1
780,0
794,0
823,1
840,0
847,1
865,1
866,1
876,0
879,1
882,0
883,0
884,1
890,1
891,0
892,1
896,1
899,0
906,0
907,1
911,1
914,1
917,1
942,0
968,0
981,1
987,0
1004,1
1026,0
1027,1
1051,1
1065,1
1073,1
1076,0
1079,0
1083,1
1130,0
1136,1
1139,0
1155,1
1176,1
1180,0
1185,0
1190,0
1191,1
1209,0
1213,0
1222,1
1227,1
1229,1
1240,1
1244,0
1245,0
1250,0
1252,0
1255,1
1264,1
1297,1
1301,1
1306,0
1313,0
1314,1
1320,1
1350,1
1383,1
1421,1
1423,0
1427,1
1474,1
1475,1
1478,0
1487,0
1492,0
1493,1
1494,1
1502,1
1504,0
1511,0
1521,1
1528,0
1553,1
1582,0
1588,0
1595,0
1597,1
1600,1
1601,1
1624,1
1629,1
1633,1
1634,1
1635,1
1650,0
1654,1
1661,0
1665,1
1675,1
1676,0
1718,0
1721,0
1726,0
1729,1
1733,1
1777,1
1789,0
1818,0
1819,0
1820,1
1823,0
1827,1
1831,1
1832,0
1846,1
1868,1
1872,0
1880,1
1885,0
1891,0
1909,1
1912,1
1933,1
1934,1
1939,1
1951,1
1952,1
1978,1
1979,1
1982,0
1995,1
2028,1
2032,1
2061,1
2085,0
2103,1
2105,1
2116,0
2121,0
2122,1
2124,1
2136,0
2137,1
2139,1
2146,1
2147,1
2148,1
2150,1
2153,1
2161,1
2163,1
2165,1
2169,1
2174,1
2183,1
2210,0
2211,0
2213,1
2254,1
2267,1
2282,1
2309,1
2317,0
2326,1
2328,1
2329,0
2342,1
2352,0
2353,0
2355,1
2360,1
2373,0
2377,1
2383,1
2387,1
2390,1
2397,1
2404,1
2409,1
2414,0
2420,1
2421,0
2423,0
2431,1
2444,0
2447,1
2452,1
2455,1
2458,1
2464,0
2480,1
2482,0
2494,1
2503,0
2505,1
2513,1
2514,1
2522,1
2534,0
2539,1
2542,1
2545,1
2548,1
2557,0
2572,0
2587,1
2589,0
2592,0
2597,1
2603,1
2605,1
2606,0
2611,0
2621,0
2627,0
2629,1
2636,0
2646,1
2654,1
2657,0
2663,1
2667,0
2668,0
2677,1
2685,0
2687,0
2692,1
2693,0
2716,0
2717,1
2726,0
2729,0
2743,1
2753,1
2768,1
2769,1
2781,0
2783,0
2794,0
2796,0
2838,1
2847,0
2865,0
2866,0
2867,1
2874,1
2876,0
2890,1
2892,0
2894,1
2909,1
2940,1
2965,1
2970,1
2997,1
3045,1
3081,0
3086,0
3115,1
3172,0
3185,1
3204,1
3228,1
3229,0
3237,1
3238,0
3239,0
3249,1
3250,0
3252,1
3253,1
3298,1
3300,1
3303,0
3315,0
3319,0
3322,1
3323,1
3324,1
3329,1
3335,1
3372,1
3384,1
3404,1
3408,0
3412,1
3419,1
3424,1
3427,1
3432,1
3433,1
3437,0
3451,1
3456,1
3458,1
3469,0
3479,1
3482,1
3483,1
3484,1
3497,1
3500,0
3505,0
3516,0
3519,1
3520,1
3524,0
3530,0
3535,1
3545,1
3548,1
3549,0
3552,0
3557,1
3559,1
3560,1
3561,1
3564,0
3565,0
3568,0
3569,1
3572,1
3574,1
3584,1
3605,1
3606,1
3612,0
3619,1
3621,1
3630,0
3631,1
3636,1
3649,0
3650,1
3651,1
3652,1
3653,1
3666,1
3680,0
3681,0
3693,0
3704,0
3706,0
3707,1
3715,0
3724,1
3731,1
3733,0
3747,1
3754,0
3765,1
3774,0
3777,0
3787,1
3803,1
3825,1
3829,1
3835,1
3840,0
3845,0
3864,0
3876,1
3881,1
3883,0
3899,0
3904,0
3906,1
3910,0
3911,1
3915,0
3926,0
3929,1
3932,1
3942,1
3943,1
3949,1
3951,0
3965,1
3976,1
3979,1
3982,1
3989,0
3993,0
4004,1
4005,0
4027,1
4028,1
4029,1
4040,1
4044,1
4048,0
4067,0
4075,1
4083,1
4113,0
4117,1
4122,1
4128,1
4134,1
4137,1
4145,1
4150,1
4151,1
4157,1
4163,0
4176,1
4178,1
4185,1
4187,0
4200,1
4207,0
4228,1
4229,1
4231,0
4232,1
4233,1
4235,1
4240,1
4241,0
4243,0
4258,1
4260,0
4265,1
4266,1
4267,1
4269,0
4274,0
4278,0
4286,0
4296,0
4300,1
4310,1
4318,0
4364,0
4368,0
4369,0
4383,1
4448,0
4449,1
4451,1
4453,1
4459,1
4519,1
4554,1
4580,0
4584,1
4593,1
4596,1
4606,0
4608,0
4609,1
4615,1
4627,1
4628,0
4629,1
4636,1
4637,1
4643,1
4648,1
4650,0
4663,1
4670,0
4672,0
4686,0
4687,1
4694,1
4695,0
4696,0
4709,1
4715,1
4718,1
4722,0
4732,0
4734,1
4740,0
4743,1
4757,1
4764,1
4773,1
4775,1
4787,1
4788,1
4823,0
4825,0
4830,0
4831,0
4935,1
4963,1
5039,1
5042,0
5043,1
5048,1
5049,1
5052,1
5053,1
5067,0
5082,1
5083,1
5085,1
5095,0
5157,1
5161,0
5170,1
5182,1
5188,1
5189,1
5191,0
5199,0
5217,1
5224,1
5229,0
5231,1
5234,0
5240,0
5242,1
5253,0
5256,1
5270,1
5275,0
5277,1
5285,1
5286,1
5304,1
5324,1
5329,0
5332,1
5337,1
5339,1
5347,0
5359,0
5360,1
5372,1
5376,1
5378,0
5415,0
5441,0
5442,0
5455,0
5457,0
5464,1
5481,1
5486,1
5487,1
5489,1
5491,0
5495,0
5504,1
5505,1
5506,1
5509,1
5512,0
5515,0
5538,1
5539,1
5554,1
5558,0
5561,1
5565,0
5566,0
5569,0
5572,1
5577,1
5588,0
5599,1
5605,0
5633,1
5643,0
5649,1
5656,1
5659,0
5660,1
5661,1
5664,1
5666,0
5678,1
5688,1
5700,1
5701,1
5709,0
5718,0
5731,0
5736,1
5745,0
5758,0
5766,0
5768,1
5770,0
5773,0
5784,1
5794,0
5802,0
5803,1
5813,1
5817,0
5831,1
5834,0
5867,1
5905,0
5935,0
5937,1
5938,1
5943,0
5962,0
5981,1
5989,1
6000,1
6003,1
6010,1
6020,1
6028,0
6036,1
6042,1
6053,1
6056,1
6059,1
6100,0
6120,1
6121,1
6125,0
6127,0
6129,1
6136,1
6140,0
6141,1
6143,0
6158,1
6163,0
6168,1
6169,0
6174,0
6175,0
6191,1
6198,0
6210,1
6219,1
6222,0
6231,0
6234,0
6236,1
6238,0
6260,0
6270,1
6279,1
6280,0
6286,1
6287,1
6299,0
6301,0
6309,0
6338,1
6349,1
6362,1
6369,1
6385,1
6397,1
6402,1
6405,1
6407,1
6412,1
6423,1
6455,0
6464,0
6465,1
6472,1
6480,0
6546,1
6589,1
6590,1
6600,1
6601,1
6602,1
6608,0
6613,1
6616,1
6618,0
6622,0
6628,1
6642,1
6643,1
6645,1
6650,1
6651,1
6658,0
6659,0
6671,1
6678,0
6679,0
6680,0
6693,1
6705,1
6707,0
6714,1
6716,0
6717,1
6723,0
6728,1
6752,1
6755,1
6767,0
6782,0
6788,1
6797,0
6804,0
6808,1
6810,1
6841,0
6860,0
6869,1
6873,0
6874,0
6899,1
6902,1
6939,0
6981,1
6991,1
7003,1
7035,1
7040,0
7048,0
7138,1
7145,1
7148,0
7156,1
7157,0
7158,1
7160,1
7172,0
7176,1
7187,0
7192,1
7201,1
7212,1
7233,1
7236,0
7237,0
7238,0
7245,0
7246,1
7247,1
7250,0
7267,0
7268,0
7284,1
7288,1
7291,1
7300,1
7302,0
7330,1
7341,0
7342,1
7366,0
7374,0
7403,0
7430,1
7433,0
7446,0
7456,0
7458,0
7462,1
7466,1
7518,1
7546,1
7554,1
7564,1
7646,1
7658,1
7700,1
7703,1
7737,1
7739,1
7742,1
7761,1
7864,1
7868,1
7900,1
7916,1
7919,1
7926,0
7949,1
7966,0
7974,1
7976,1
8061,1
8088,1
8096,1
8104,1
8108,1
8117,1
8129,0
8136,1
8141,0
8142,1
8162,1
8201,1
8203,1
8213,1
8216,0
8218,1
8228,1
8229,0
8230,1
8237,1
8254,0
8266,1
8288,1
8290,1
8300,1
8301,0
8305,1
8311,1
8321,1
8336,1
8348,1
8361,1
8377,1
8397,1
8404,1
8415,1
8416,1
8430,0
8433,1
8440,1
8446,1
8468,1
8476,1
8481,1
8484,1
8503,1
8507,1
8516,1
8532,0
8533,0
8534,1
8537,0
8574,0
8577,0
8585,0
8604,1
8606,1
8617,1
8629,1
8638,1
8645,1
8646,1
8647,1
8649,1
8662,1
8693,1
8711,1
8716,1
8720,1
8722,1
8727,1
8733,1
8734,1
8736,1
8744,1
8745,0
8751,1
8755,1
8761,1
8767,1
8774,1
8802,1
8814,0
8829,1
8838,1
8912,1
8951,0
8965,1
8973,1
8980,1
8985,0
8986,1
8995,1
8997,1
8999,1
9003,1
9006,1
9018,1
9029,1
9034,1
9038,0
9040,1
9068,1
9074,1
9082,1
9102,0
9105,0
9106,0
9122,0
9169,1
9173,1
9175,0
9185,0
9203,0
9212,0
9217,1
9230,1
9231,1
9243,0
9254,0
9255,1
9260,1
9265,1
9275,1
9298,0
9303,1
9315,0
9325,1
9335,1
9340,0
9356,0
9357,1
9358,1
9366,1
9370,1
9373,1
9382,1
9397,1
9406,1
9418,1
9483,1
9485,1
9490,0
9516,0
9521,0
9525,1
9529,1
9535,1
9544,1
9545,1
9557,1
9558,1
9586,1
9594,1
9605,1
9615,0
9617,0
9625,1
9643,1
9648,1
9650,1
9776,1
9779,1
9790,1
9824,1
9972,1
9991,1
10313,0
10317,0
10332,0
10339,1
10353,1
10363,1
10387,0
10388,1
10395,0
10405,0
10409,1
10799,1
11281,1
11332,1
11602,1
